sku,image_name,description,related_products
NESTLE Lactogen 1 Powder 800g,,"Nestlé Lactogen 1, the ideal start for your little one!  This 800g powder formula provides complete and balanced nutrition for healthy growth and development during the first six months.  It's expertly crafted with essential vitamins and minerals, supporting your baby's immune system and brain development.  Give your baby the best possible beginning with Nestlé Lactogen 1.

Key features include a convenient 800g size, easy-to-mix powder formula, and a delicious taste babies love.  Specifically designed to meet the nutritional needs of infants, it contains DHA & ARA for brain development,  prebiotics for gut health and iron for healthy blood.  Simple preparation instructions are provided on the pack for your convenience.

Ensure optimal nutrition and support your baby's healthy growth with Nestlé Lactogen 1.  Always consult your pediatrician before introducing any new formula.  Order yours today and experience the Nestlé Lactogen 1 difference!  Shop now for peace of mind and a happy, healthy baby.
",NESTLE - Lactogen 2 Powder Milk Box 400g | NESTLE - Lactogen 1 Powder Milk Box 400g | NESTLE Nido Powder Milk 1 400g
NESTLE - Lactogen 2 Powder Milk Box 400g,,"Nestlé Lactogen 2: Nourishing your growing toddler!  This 400g box provides complete nutrition for toddlers aged 6-12 months, supporting healthy growth and development.  It's specially formulated with essential vitamins and minerals for strong bones, a healthy immune system, and optimal brain function.  Give your little one the best start with Lactogen 2.

Key Features:  Specifically designed for 6-12 month olds.  Provides essential nutrients for healthy growth.  Convenient 400g powder box for easy preparation.  Simple mixing instructions for quick and easy feeding.  Trusted Nestlé quality you can rely on.  

Ensure proper hygiene during preparation.  Always follow the instructions on the packaging for optimal results.  Give your child the gift of healthy growth with Nestlé Lactogen 2. Order yours today!
",NESTLE Lactogen 1 Powder 800g | NESTLE Lactogen 3 Powder Milk Box 400 g | NESTLE - Lactogen 1 Powder Milk Box 400g
NESTLE Lactogen 3 Powder Milk Box 400 g,,"Nestlé Lactogen 3: Nourishing your toddler's growth!  This delicious powder milk provides essential nutrients for healthy development, supporting strong bones and a robust immune system.  Give your little one the best start with the trusted quality of Nestlé.  A perfect blend of vitamins and minerals to fuel their active days.

Specifically formulated for toddlers aged 1-3 years, this 400g box of Lactogen 3 is conveniently sized for home use.  It's easy to prepare, simply follow the instructions on the pack.  Key features include:  *Optimal nutrient blend *Supports healthy growth *Delicious taste *Convenient packaging.

Ensure your child receives the balanced nutrition they need for optimal development.  Lactogen 3 contributes to a strong immune system and healthy cognitive function.  Order yours today and provide your toddler with the best possible start!
",NESTLE - Lactogen 2 Powder Milk Box 400g | NESTLE - Lactogen 1 Powder Milk Box 400g | NESTLE Lactogen 1 Powder 800g
NESTLE - Lactogen 1 Powder Milk Box 400g,,"Nestlé Lactogen 1: Nourishing your baby's first steps!  This 400g box provides complete nutrition for your little one's crucial first year, supporting healthy growth and development with a gentle formula easily digestible by delicate tummies.  Give your baby the best start with the trusted quality of Nestlé.


Specifically formulated for infants 0-6 months, Lactogen 1 contains essential vitamins and minerals including iron, zinc, and Vitamin D, crucial for immune support and brain development.  It's easy to prepare, just follow the instructions on the pack.  400g box, perfect for your baby’s needs.


Ensure optimal nutrition for your baby.  Lactogen 1 supports healthy weight gain and strong bones.  Shop now and give your baby the gift of healthy growth!  Trust the expertise of Nestlé for your baby's well-being.
",NESTLE Lactogen 1 Powder 800g | NESTLE - Lactogen 2 Powder Milk Box 400g | NESTLE Lactogen 3 Powder Milk Box 400 g
NESTLE Nido Powder Milk 1 400g,,,
NESTLE Nido Powder Milk 3+ Box-800g,,,
NESTLE Nido Powder Milk 1-3-years Box 1kg,,,
NESTLE - Cerelac Cereal Red Fruits 175g,,,
NESTLE - Cerelac Cereal Yellow Fruits-175g,,,
NESTLE - Cerelac Cereal Orange and Apple 175g,,,
NESTLE - Cerelac Cereal Banana and Wheat 175g,,,
Nestle Cerelac Cereal Rice and Mixed Vegetables 170g,,,
Nestle Cerelac Cereal Rice and Chicken 250g,,,
TAPAL - Tea Danedar 385g,,,
TAPAL - Tea Family Mixture 430g,,,
LIPTON - Yellow Label Tea 95g,,,
TAPAL-Danedar Tea Box 190g,,,
SUPREAM Tea mixture 430g,,,
DOVE Soap Fresh Bar 106g,,,
DOVE Pampering Beauty Cream Bar 135g,,,
DOVE Conditioner Thickening With Lavender Oil 355 ML-DM,,,
DOVE Soap ( Go Fresh Rebalance) 106g,,,
LUX SOAP magical spell 80gm,,,
LUX SOAP aqwa sparkle 80gm,,,
LUX SOAP bright impress 80gm,,,
Lux Soap ( Soft Touch ) Pink 75g,,,
Gillette Blue 3 Razors 6S Pack Comfort - DM,,,
PEARS - Pure Transparent Soap Orange 125g,,,
Dettol Hand Wash Original Bottle 150ml,,,
DETTOL Antiseptic Liquid 50ml,,,
Safeguard Soap Aloe Vera 70gd soap aloe vera,,,
Lux Soap Nature Pure 115gm unilever,,,
Lifebuoy Soap Total 10 135g,,,
Lifebuoy Nature Soap 135g,,,
Sunsilk Perfect Straight Shampoo 180ml unilever-DM,,,
SUNSILK Hair Fall Solution Shampoo 320ml/DM,,,
PENTENE - Smooth & Strong Shampoo 185ml,,,
HEAD & SHOULDER Classic Clean Shampoo 180ml,,,
DOVE Coconut & Hydration Conditioner 355ml-DM,,,
DOVE Dryness Care Shampoo 175mlDM,,,
LIFEBUOY Anti Dandruff  Strong & Long Shampoo 380ml-DM,,,
Head & Shoulder Itchy Scalp Care Shampoo 200ml,,,
DOVE Nourishing Oil Care Shampoo 175ml-DM,,,
Sunsilk Black Shampoo 320ml/DM,,,
SUNSILK Anti-Dandruff Shampoo 160ml-DM,,,
Pantene Nature Fusion Shampoo 180ml-DM,,,
Head & Shoulder Hair Fall Shampoo 200ml,,,
LIFEBUOY Herbal Shampoo 680ml-DM,,,
DOVE Hair Fall Rescue Shampoo 175mlDM,,,
Mitchells Jelly Strawberry 450 g,,,
Mitchells Jam Mango 450g,,,
Mitchells Jam Golden Apple Jam 450g,,,
Mitchells Jam Golden Mist Marmalade 450g,,,
NESCAFE Classic Coffee 100g,,,
SURF EXCEL - Powder 500g,,,
ROBIN Blue Liquid Neel 150ml,,,
MAX Dish Wash Soap 85G,,,
ARIEL - Original 500g,,,
Max Dish Wash Long Bar Soap 90gm,,,
